Exp,Res,Time(s),RMSE_Train,RMSERare_Train,Utility_Train,Benefit_Train,Cost_Train,CaseWeight_Train,Precision_Train,Recall_Train,FScore_Train,RMSE_Test,RMSERare_Test,Utility_Test,Benefit_Test,Cost_Test,CaseWeight_Test,Precision_Test,Recall_Test,FScore_Test
1,no_resample,1.8095011711120605,[0.04428003 0.05618925 0.06656426 0.07572526 0.08536777],[0.03905023 0.05286128 0.06655843 0.07727853 0.08987873],[0.18427151 0.17984623 0.17591955 0.17206677 0.16844852],[0.19169516 0.18954131 0.18762074 0.18583851 0.1841059 ],[0.00742364 0.00969507 0.01170119 0.01377174 0.01565739],[0.00198106 0.00330543 0.00478275 0.00659332 0.00849284],[0.98205346 0.68914286],[0.97450558 0.76040353],[0.70230608 0.61510353 0.52718918 0.4535371  0.37865534],[0.0449777  0.05714124 0.06773356 0.07708555 0.08693407],[0.03944059 0.05325482 0.06694952 0.07770637 0.09031349],[0.1757391  0.1710396  0.16687109 0.16278523 0.15895134],[0.18345852 0.18112866 0.17904785 0.17711706 0.1752431 ],[0.00771942 0.01008906 0.01217676 0.01433183 0.01629176],[0.00223777 0.00374323 0.00542065 0.00747708 0.00963344],[0.98038342 0.68618267],[0.97043248 0.76902887],[0.70129248 0.60963372 0.52978387 0.45130036 0.37687145]
1,SMOTER_bin,1.6817271709442139,[0.05248909 0.06425985 0.07143856 0.08166586 0.08719249],[0.03342626 0.04224371 0.05020699 0.05864086 0.06976551],[0.47212163 0.46218804 0.44871772 0.43223727 0.41344421],[0.48771399 0.48257745 0.47321184 0.46039446 0.44431756],[0.01559236 0.02038941 0.02449412 0.02815719 0.03087335],[0.0014924  0.00247932 0.00359847 0.00487317 0.00623857],[0.8822774  0.96212673],[0.96588246 0.87055169],[0.94230221 0.89996514 0.80819715 0.6963824  0.56370861],[0.06547887 0.07847276 0.08374851 0.09447642 0.09741239],[0.03606059 0.04451941 0.05523533 0.06812577 0.08651634],[0.17357207 0.16936016 0.16642121 0.16300994 0.16021205],[0.18296339 0.18117872 0.17972297 0.17809265 0.17634655],[0.00939131 0.01181856 0.01330176 0.01508271 0.0161345 ],[0.00296659 0.00451652 0.00573749 0.007267   0.00866471],[0.98646515 0.66875   ],[0.96491615 0.84251969],[0.69752282 0.62365591 0.54733064 0.46764289 0.37998907]
1,SMOTER_regular,2.010554075241089,[0.0522963  0.06392132 0.07406188 0.08488934 0.09044402],[0.03662624 0.04548009 0.05517057 0.0657197  0.07907302],[0.46664763 0.45617396 0.4421663  0.42526148 0.40605622],[0.48306193 0.47715484 0.46772168 0.45482005 0.43859475],[0.0164143  0.02098087 0.02555538 0.02955857 0.03253853],[0.00156959 0.00255544 0.00385492 0.00533584 0.00692069],[0.80685794 0.96555385],[0.97263099 0.76717593],[0.91807434 0.83891773 0.74056067 0.63157626 0.48559107],[0.06372038 0.07646817 0.08603513 0.09687665 0.0989127 ],[0.03692031 0.04641393 0.05813978 0.07235133 0.09128231],[0.17431857 0.17030288 0.16659601 0.1631182  0.16029709],[0.18314062 0.18139846 0.17969828 0.17800797 0.17622557],[0.00882205 0.01109558 0.01310227 0.01488978 0.01592848],[0.0025936  0.00395056 0.00548317 0.00704672 0.00849003],[0.98058036 0.67898383],[0.96932921 0.77165354],[0.69569333 0.62114746 0.53683197 0.45266425 0.36742192]
