Exp,Res,Time(s),RMSE_Train,RMSERare_Train,Utility_Train,Benefit_Train,Cost_Train,CaseWeight_Train,Precision_Train,Recall_Train,FScore_Train,RMSE_Test,RMSERare_Test,Utility_Test,Benefit_Test,Cost_Test,CaseWeight_Test,Precision_Test,Recall_Test,FScore_Test
1,no_resample,54.985475063323975,[0.00718903 0.00949514 0.01118411 0.01343192 0.01594157],[0.00611942 0.0079842  0.00886651 0.01241783 0.01676368],[0.19629694 0.19568737 0.19551981 0.19482771 0.19407975],[0.19746594 0.19717295 0.19710172 0.19675939 0.19638194],[0.00116899 0.00148558 0.00158192 0.00193168 0.00230219],"[3.92211490e-05 6.92404140e-05 9.11152544e-05 1.46394516e-04
 2.26466835e-04]",[0.99387001 1.        ],[1.         0.84439359],[0.96445374 0.95773141 0.95959596 0.9466153  0.92717087],[0.00733454 0.00974286 0.01154716 0.01390857 0.01655572],[0.00613167 0.00799285 0.00886045 0.01241457 0.01677954],[0.18833715 0.1876038  0.18728027 0.1864348  0.18549002],[0.18950122 0.18910152 0.1889066  0.18844139 0.18791901],[0.00116407 0.00149773 0.00162634 0.00200659 0.00242898],"[4.21668770e-05 7.62157024e-05 1.03235338e-04 1.68094520e-04
 2.63268109e-04]",[0.99555085 1.        ],[1.         0.90186916],[0.97870183 0.96960168 0.97193347 0.95986985 0.9494382 ]
2,no_resample,52.110515117645264,[0.00619739 0.00827872 0.0093768  0.01120508 0.01319921],[0.00483225 0.00644298 0.00580059 0.00747009 0.01026758],[0.19666186 0.19598687 0.19617916 0.19583215 0.19533442],[0.19765145 0.19732808 0.1974417  0.19727864 0.19703511],[0.00098959 0.00134121 0.00126254 0.00144649 0.00170069],"[2.81542700e-05 5.12987829e-05 5.39253954e-05 7.91306584e-05
 1.22329674e-04]",[0.99521531 0.9974026 ],[0.9999093  0.87871854],[0.97116844 0.96363636 0.96658098 0.95983307 0.95213046],[0.00624659 0.00843086 0.00964697 0.01158965 0.01370424],[0.00482017 0.00642998 0.00577799 0.00745151 0.01025081],[0.18880198 0.18801253 0.18806965 0.18757048 0.18689929],[0.18973738 0.18931236 0.18931306 0.18902837 0.18865256],[0.0009354  0.00129983 0.00124341 0.00145789 0.00175326],"[2.76812936e-05 5.28724474e-05 5.81247829e-05 8.84509254e-05
 1.40310652e-04]",[0.99639525 1.        ],[1.         0.92056075],[0.98303393 0.97759674 0.97870183 0.97308489 0.97193347]
3,no_resample,52.65417981147766,[0.00306347 0.00382255 0.00404092 0.00423187 0.00552442],[0.00081688 0.00155823 0.00242863 0.00360914 0.00616729],[0.19814422 0.19785016 0.19769264 0.19763145 0.19729939],[0.19840219 0.19827703 0.19821816 0.19820425 0.19805102],[0.00025797 0.00042687 0.00052552 0.0005728  0.00075163],"[2.58385710e-06 6.13965452e-06 9.34158958e-06 1.35386426e-05
 2.94397214e-05]",[0.99981858 0.99315068],[0.99972789 0.99542334],[0.99360439 0.97428958 0.96977898 0.9743237  0.97601918],[0.00303918 0.00373588 0.00389454 0.00406105 0.00546351],[0.00082735 0.00151602 0.00240478 0.00359786 0.00613124],[0.19020098 0.18989237 0.18967595 0.18950651 0.18899024],[0.19044606 0.19026928 0.19013608 0.19002319 0.18973339],[0.00024508 0.0003769  0.00046013 0.00051667 0.00074315],"[2.61700602e-06 5.38129022e-06 7.93491751e-06 1.24551188e-05
 3.18266594e-05]",[0.99978723 1.        ],[1.        0.9953271],[0.99906191 0.98794063 0.97966728 0.98130841 0.97847358]
4,no_resample,52.252461194992065,[0.00238196 0.00246076 0.00297482 0.00363174 0.0051256 ],[0.00147039 0.0020301  0.00204984 0.00357544 0.0073967 ],[0.19808745 0.19809933 0.19792786 0.19768833 0.1972704 ],[0.19837374 0.19840041 0.19833447 0.19823196 0.19803539],[0.00028629 0.00030108 0.00040661 0.00054363 0.00076499],"[2.78587897e-06 3.26409679e-06 6.08139860e-06 1.27626497e-05
 3.21434258e-05]",[0.99981859 0.99542334],[0.99981859 0.99542334],[0.99542334 0.99438465 0.995338   0.98687295 0.97063216],[0.00232999 0.00238743 0.00284395 0.00349157 0.00509041],[0.00146746 0.00203778 0.0020494  0.00354757 0.00739477],[0.19017163 0.19009956 0.18986743 0.18952197 0.18889977],[0.19043125 0.1903718  0.1902307  0.19003033 0.18968702],[0.00025962 0.00027224 0.00036327 0.00050836 0.00078726],"[2.57336867e-06 2.99657101e-06 5.40418365e-06 1.26473044e-05
 3.58358859e-05]",[1.         0.99534884],[0.99978719 1.        ],[0.99627561 0.99811676 0.99811676 0.99620493 0.97979798]
5,no_resample,56.673579931259155,[0.00234225 0.00265805 0.00295068 0.00366208 0.00442324],[0.00431139 0.00412869 0.00372028 0.00400212 0.00536981],[0.19795261 0.19798835 0.19801491 0.19785479 0.19762836],[0.1983047  0.19834329 0.19837621 0.19831377 0.1982162 ],[0.00035208 0.00035494 0.00036131 0.00045899 0.00058784],"[5.35345422e-06 5.62838470e-06 6.03096193e-06 1.04769743e-05
 1.94931204e-05]",[0.99656513 1.        ],[1.         0.91304348],[0.98130841 0.98444336 0.98649301 0.98649301 0.98340654],[0.00238513 0.00269536 0.00294796 0.0036385  0.00435992],[0.00433781 0.00415691 0.00374829 0.00401494 0.00535012],[0.18994188 0.18986827 0.18983628 0.18959417 0.18928215],[0.19031475 0.1902545  0.19021344 0.1900652  0.18988039],[0.00037287 0.00038623 0.00037716 0.00047103 0.00059825],"[6.22130139e-06 6.59895829e-06 6.69052960e-06 1.13301840e-05
 2.09916952e-05]",[0.99702949 1.        ],[1.         0.93457944],[0.98619329 0.98722986 0.99129594 0.99229287 0.98825832]
6,no_resample,50.37131881713867,[0.00353057 0.00286415 0.00266    0.0027934  0.003887  ],[0.00118553 0.00230513 0.00259301 0.0045172  0.0068187 ],[0.19777506 0.19799689 0.19796594 0.19785276 0.19746117],[0.19821907 0.1983498  0.19835365 0.19831354 0.19813256],[0.00044401 0.00035291 0.0003877  0.00046078 0.00067139],"[6.29651249e-06 4.69453708e-06 5.51580007e-06 9.72123549e-06
 2.19679028e-05]",[0.99990925 0.98419865],[0.99936508 0.99771167],[0.98687189 0.99294118 0.99196977 0.98236159 0.9703021 ],[0.00351483 0.00281566 0.00254799 0.00271665 0.00383621],[0.00115812 0.00231431 0.00260474 0.00451755 0.00680555],[0.18988707 0.18999741 0.18988343 0.18960034 0.18907762],[0.19029044 0.19032128 0.1902389  0.19006916 0.18977829],[0.00040337 0.00032387 0.00035547 0.00046882 0.00070066],"[5.85347539e-06 4.39871133e-06 5.05883216e-06 1.03388189e-05
 2.41251733e-05]",[1.         0.99534884],[0.99978719 1.        ],[0.99627561 0.99716446 0.9952381  0.98825832 0.98196393]
7,no_resample,58.82467293739319,[0.00331478 0.00337169 0.00357388 0.00374397 0.00406376],[0.00365218 0.00409859 0.00350078 0.00432979 0.00578308],[0.19796016 0.19788983 0.19804419 0.19787942 0.19760293],[0.19830889 0.19829417 0.19839124 0.19832624 0.19820327],[0.00034872 0.00040434 0.00034705 0.00044681 0.00060033],"[4.43823734e-06 6.14537355e-06 5.45158088e-06 1.02381137e-05
 1.97155507e-05]",[0.99701574 1.        ],[1.         0.92448513],[0.98392596 0.98288509 0.98800959 0.98495876 0.979177  ],[0.00335783 0.00340591 0.00357617 0.00372885 0.0040454 ],[0.00369963 0.00413172 0.00351248 0.00434901 0.00579268],[0.18995648 0.18978438 0.18984839 0.18957954 0.18919331],[0.19032249 0.19021272 0.19021995 0.19005815 0.189836  ],[0.00036601 0.00042834 0.00037156 0.00047862 0.00064269],"[5.13421900e-06 7.10376669e-06 6.15844317e-06 1.15212922e-05
 2.22194326e-05]",[0.99745277 1.        ],[1.         0.94392523],[0.98825832 0.98619329 0.99328215 0.99029126 0.98409543]
8,no_resample,52.35047793388367,[0.00340116 0.00335856 0.00365382 0.0035985  0.003704  ],[0.00332029 0.00364302 0.00313631 0.00386823 0.00485724],[0.19793026 0.19790048 0.19808931 0.19797143 0.19778239],[0.19829391 0.19829963 0.19841415 0.19837303 0.19829473],[0.00036365 0.00039915 0.00032484 0.0004016  0.00051233],"[4.42793319e-06 5.53049009e-06 4.66195448e-06 8.39162100e-06
 1.50271808e-05]",[0.99683544 1.        ],[1.         0.91990847],[0.98288509 0.98444336 0.98800959 0.98649301 0.98392596],[0.00343423 0.0033816  0.00365189 0.00356205 0.0036277 ],[0.00341731 0.00368679 0.00315413 0.00388673 0.00486814],[0.18993046 0.1898062  0.18989455 0.1896804  0.18940312],[0.19030946 0.19022377 0.1902434  0.19010944 0.18994279],[0.000379   0.00041757 0.00034885 0.00042904 0.00053967],"[5.13552970e-06 6.35556094e-06 5.19204040e-06 9.17471598e-06
 1.63174390e-05]",[0.99745277 1.        ],[1.         0.94392523],[0.98825832 0.98619329 0.99328215 0.99229287 0.98722986]
9,no_resample,52.40361404418945,[0.00319858 0.0030138  0.00317501 0.00316419 0.00346897],[0.00305206 0.00349286 0.00325352 0.00293153 0.00252152],[0.19801391 0.19801032 0.19812122 0.19806294 0.19796575],[0.19833589 0.19835459 0.19842986 0.1984187  0.19838691],[0.00032198 0.00034427 0.00030864 0.00035576 0.00042116],"[3.71884223e-06 4.58541885e-06 4.29040147e-06 6.25163919e-06
 1.04134497e-05]",[0.99719609 1.        ],[1.         0.92906178],[0.98495876 0.98495876 0.98750601 0.99049881 0.99486221],[0.0032219  0.00302457 0.00316491 0.00311469 0.00336182],[0.00306746 0.00351108 0.00328041 0.00293604 0.00247707],[0.1900271  0.18992148 0.18993865 0.18982093 0.18967952],[0.19035798 0.19028149 0.1902652  0.19017963 0.1900815 ],[0.00033087 0.00036002 0.00032656 0.00035869 0.00040198],"[4.16970910e-06 5.23480950e-06 4.80210265e-06 6.60220329e-06
 1.04103140e-05]",[0.99808836 1.        ],[1.         0.95794393],[0.99129594 0.99029126 0.99229287 0.99328215 0.99716446]
10,no_resample,50.80659103393555,[0.00394688 0.00383807 0.00377058 0.00352028 0.00343385],[0.00447051 0.00456903 0.00418048 0.00401885 0.00459239],[0.19777107 0.19780415 0.19794384 0.19794408 0.1977595 ],[0.19821406 0.19825138 0.1983411  0.19835945 0.19828373],[0.00044299 0.00044723 0.00039726 0.00041537 0.00052423],"[6.82128186e-06 7.09794166e-06 6.27333625e-06 7.44685110e-06
 1.21242535e-05]",[0.99566513 1.        ],[1.         0.89016018],[0.9759157  0.97863885 0.98130841 0.98288509 0.97971301],[0.00399346 0.00386883 0.00377731 0.00347855 0.0033385 ],[0.00448029 0.00458554 0.00419487 0.00403191 0.00459352],[0.18977394 0.18971122 0.18974763 0.18965958 0.18938126],[0.19023096 0.19017622 0.19016963 0.19009918 0.18993243],[0.00045702 0.00046501 0.00042199 0.0004396  0.00055116],"[7.71503024e-06 8.06145550e-06 7.03304291e-06 8.03024914e-06
 1.28290843e-05]",[0.99618402 1.        ],[1.         0.91588785],[0.98196393 0.98196393 0.98514851 0.98825832 0.98514851]
