Exp,Res,Time(s),RMSE_Train,RMSERare_Train,Utility_Train,Benefit_Train,Cost_Train,CaseWeight_Train,Precision_Train,Recall_Train,FScore_Train,RMSE_Test,RMSERare_Test,Utility_Test,Benefit_Test,Cost_Test,CaseWeight_Test,Precision_Test,Recall_Test,FScore_Test
1,SMOTER_bin,102.49037718772888,[0.01540996 0.01547123 0.01694339 0.01729665 0.01899672],[0.01473117 0.01466696 0.01603996 0.01732279 0.01998624],[0.53851327 0.53521624 0.5236157  0.50839688 0.48882776],[0.54649349 0.54311656 0.53207844 0.51701734 0.49820366],[0.00798022 0.00790031 0.00846273 0.00862046 0.00937591],[0.0002376  0.00024869 0.00030223 0.00033972 0.00043298],[0.99990783 0.98425197],[0.98403628 0.9999091 ],[0.98734404 0.94086855 0.87883099 0.83817094 0.81522991],[0.01554699 0.01516329 0.0163066  0.01531432 0.01576292],[0.01288766 0.01249253 0.01354896 0.01291825 0.01392579],[0.18403342 0.18402122 0.18357595 0.18404777 0.18394421],[0.18744868 0.18741995 0.18718721 0.18738613 0.18731284],[0.00341525 0.00339873 0.00361126 0.00333836 0.00336863],[0.00030343 0.00030584 0.00034927 0.0003147  0.00033781],[1.         0.73539519],[0.98361353 1.        ],[0.77648766 0.77424023 0.75035063 0.75458392 0.74202497]
2,SMOTER_bin,99.79995393753052,[0.00648981 0.00856152 0.010643   0.01265101 0.01442269],[0.00810614 0.01009248 0.01211054 0.01574647 0.01740019],[0.5485616  0.54357762 0.53183162 0.51471537 0.49610079],[0.55138315 0.5471528  0.53601696 0.51997327 0.5015986 ],[0.00282156 0.00357518 0.00418533 0.0052579  0.00549781],"[5.74405719e-05 8.78265860e-05 1.22150268e-04 1.93858277e-04
 2.28094115e-04]",[0.97730094 0.99972088],[0.99972789 0.97672939],[0.99503639 0.97113877 0.96014534 0.96447487 0.95581108],[0.00429265 0.00682682 0.00943084 0.01026299 0.01296297],[0.00339626 0.00501818 0.00650474 0.01049522 0.01237545],[0.18989526 0.18960582 0.18912824 0.18829083 0.18782061],[0.19029216 0.19012194 0.18985369 0.18940243 0.18913449],[0.0003969  0.00051612 0.00072546 0.0011116  0.00131388],"[6.69143196e-06 1.18360586e-05 2.45870467e-05 5.73702851e-05
 8.58441946e-05]",[0.99936197 1.        ],[1.         0.98598131],[0.99716446 0.99328215 0.98825832 0.96960168 0.96723044]
3,SMOTER_bin,100.77552008628845,[0.00695614 0.00834157 0.00970916 0.01168554 0.01352264],[0.00802247 0.00945996 0.01132757 0.01447591 0.01602027],[0.54864476 0.54412602 0.53240272 0.5157081  0.49699082],[0.55142247 0.54743156 0.53631004 0.52048449 0.50206165],[0.00277771 0.00330554 0.00390733 0.00477639 0.00507084],"[5.60029770e-05 7.74583256e-05 1.06924665e-04 1.62964445e-04
 1.94608039e-04]",[0.97186949 0.99962568],[0.99963719 0.97100264],[0.99376686 0.96985004 0.96043075 0.96531776 0.95685171],[0.00576278 0.00716813 0.00821558 0.00960535 0.01234156],[0.00376316 0.00427873 0.0049859  0.00803825 0.00879131],[0.18998994 0.18974329 0.18937688 0.18873255 0.18829952],[0.19033796 0.19019032 0.18998022 0.18962559 0.18937764],[0.00034802 0.00044703 0.00060334 0.00089304 0.00107811],"[6.14149094e-06 9.67422308e-06 1.70344626e-05 3.86983094e-05
 5.73091096e-05]",[0.99872476 1.        ],[1.         0.97196262],[0.99426386 0.99620493 0.99620493 0.98722986 0.98927875]
4,SMOTER_bin,99.90869092941284,[0.00730071 0.00834582 0.00994373 0.01159402 0.01341862],[0.00884305 0.01014559 0.01240882 0.01452922 0.01644499],[0.54764982 0.54355201 0.53159747 0.51566372 0.49672923],[0.55091811 0.54713837 0.53589661 0.52046232 0.50192466],[0.00326829 0.00358636 0.00429914 0.0047986  0.00519542],"[6.79321815e-05 8.74623397e-05 1.24654860e-04 1.63852455e-04
 2.02735683e-04]",[0.95205598 0.99961722],[0.99963719 0.94955004],[0.98918581 0.97168507 0.96440213 0.96606687 0.95632956],[0.00546383 0.00626892 0.00739062 0.00907955 0.01141224],[0.00540761 0.00564852 0.00675432 0.00793952 0.00898728],[0.1897995  0.18980768 0.18939524 0.18893665 0.18851184],[0.19024273 0.19022393 0.1899918  0.18973254 0.18949064],[0.00044324 0.00041626 0.00059656 0.00079589 0.0009788 ],"[9.40166584e-06 9.61686277e-06 1.68530575e-05 2.90016438e-05
 4.37731954e-05]",[0.99702949 1.        ],[1.         0.93457944],[0.98619329 0.99029126 0.98927875 0.98825832 0.98722986]
5,SMOTER_bin,100.17463397979736,[0.00809237 0.00908814 0.01040143 0.01272071 0.01376232],[0.00945261 0.01035508 0.01196219 0.0150473  0.01626659],[0.54665541 0.54302429 0.5316837  0.51477954 0.49663161],[0.55041423 0.5468706  0.53594152 0.52000894 0.50187409],[0.00375883 0.00384631 0.00425782 0.0052294  0.00524249],"[7.84894568e-05 9.23572875e-05 1.18747636e-04 1.79564398e-04
 2.00753290e-04]",[0.93058019 0.9994109 ],[0.99945578 0.92527952],[0.98364933 0.97073309 0.96289031 0.96474142 0.95755298],[0.00660257 0.00788163 0.00918137 0.01138707 0.01284089],[0.00633917 0.00603709 0.00640588 0.00901561 0.00947745],[0.18923445 0.18921298 0.1889105  0.18792046 0.18776121],[0.18995827 0.18992349 0.18974419 0.1892127  0.18910105],[0.00072382 0.00071051 0.00083369 0.00129223 0.00133984],"[1.79268761e-05 1.94712833e-05 2.89906775e-05 6.65387368e-05
 8.13428075e-05]",[0.99618402 1.        ],[1.         0.91588785],[0.98196393 0.98927875 0.99129594 0.98196393 0.98196393]
6,SMOTER_bin,99.81934595108032,[0.00928019 0.01001389 0.01028975 0.01246477 0.01273826],[0.01181123 0.01271104 0.01320318 0.01595643 0.01634478],[0.54404848 0.54059187 0.53074043 0.51415289 0.49665547],[0.54908856 0.54562952 0.53545814 0.51968592 0.50188765],[0.00504008 0.00503766 0.00471771 0.00553303 0.00523218],[0.00012326 0.00013735 0.00014064 0.00019918 0.00020084],[0.89880127 0.99969272],[0.99972789 0.88719207],[0.97496654 0.9667536  0.96501867 0.96473919 0.95588967],[0.00608001 0.00702753 0.00741984 0.00962009 0.01015223],[0.00949909 0.00942652 0.00842848 0.01028098 0.00940161],[0.18864178 0.18861599 0.18889375 0.18808062 0.18814872],[0.18965878 0.18962189 0.18973701 0.18929565 0.18930418],[0.001017   0.0010059  0.00084325 0.00121503 0.00115546],"[3.69518174e-05 3.87427524e-05 3.21539441e-05 6.47568036e-05
 6.06736917e-05]",[0.99470787 1.        ],[1.         0.88317757],[0.9742268  0.97648262 0.98722986 0.98088531 0.97572816]
7,SMOTER_bin,100.05535292625427,[0.00834655 0.00912106 0.01017284 0.01106057 0.01204759],[0.01097489 0.01190345 0.01336368 0.01425602 0.01557448],[0.54496928 0.54145371 0.5303906  0.51558846 0.49709718],[0.54955598 0.54606762 0.53527712 0.5204239  0.50211724],[0.0045867  0.00461392 0.00488652 0.00483544 0.00502006],[0.00010598 0.00012041 0.0001459  0.00016083 0.00018634],[0.90448055 0.99969512],[0.99972789 0.89419144],[0.9766486  0.96756848 0.96471553 0.96485115 0.95330867],[0.00472141 0.00569909 0.00667047 0.00797413 0.00905342],[0.00848707 0.0083048  0.00846147 0.00753229 0.00749   ],[0.1888782  0.18890001 0.18866677 0.18861183 0.18828175],[0.18977829 0.18976559 0.18962184 0.18956873 0.18937568],[0.00090009 0.00086557 0.00095507 0.00095691 0.00109393],"[2.97902683e-05 3.04288744e-05 3.91475509e-05 3.73987820e-05
 4.92735063e-05]",[0.99533997 1.        ],[1.         0.89719626],[0.97759674 0.98196393 0.98514851 0.99029126 0.9554731 ]
8,SMOTER_bin,704.688658952713,[0.00822039 0.00869458 0.00859941 0.01132252 0.01154616],[0.01098424 0.01173795 0.01156013 0.01513165 0.01529725],[0.54508141 0.54173676 0.53219845 0.51492614 0.4974355 ],[0.5496128  0.54621212 0.53620263 0.52008216 0.50228979],[0.0045314  0.00447536 0.00400418 0.00515602 0.00485429],[0.0001054  0.00011611 0.00010921 0.00017864 0.0001783 ],[0.90448055 0.99969512],[0.99972789 0.89419144],[0.9766486  0.96741344 0.96428821 0.9653676  0.95482311],[0.00422643 0.00456636 0.00471369 0.00747453 0.00810824],[0.00850246 0.00812428 0.00582546 0.00889525 0.00751377],[0.18910487 0.18915731 0.18954073 0.1886233  0.18870478],[0.18989279 0.18989616 0.19006511 0.18957305 0.18958699],[0.00078792 0.00073885 0.00052438 0.00094975 0.00088222],"[2.52012414e-05 2.36035104e-05 1.37400938e-05 4.17846571e-05
 4.04713927e-05]",[0.99555085 1.        ],[1.         0.90186916],[0.97870183 0.98196393 0.99229287 0.98409543 0.98440546]
9,SMOTER_bin,100.72266817092896,[0.00813899 0.00855277 0.00826873 0.01106592 0.01124059],[0.0110326  0.01173789 0.01127549 0.01499651 0.0150201 ],[0.54488861 0.54166157 0.53241399 0.51509969 0.49771679],[0.54951507 0.54617386 0.53631315 0.52017013 0.50243737],[0.00462646 0.00451229 0.00389916 0.00507043 0.00472058],[0.00010695 0.00011639 0.00010402 0.00017352 0.00016935],[0.90196399 0.99969406],[0.99972789 0.89110081],[0.97590841 0.9666042  0.96349144 0.9661603  0.95263515],[0.00371022 0.00395647 0.00416117 0.00703764 0.00780716],[0.00846786 0.00798411 0.00524017 0.00814386 0.00640081],[0.18893533 0.18914741 0.18949196 0.1886817  0.18875373],[0.18980739 0.18989109 0.1900413  0.18960382 0.1896166 ],[0.00087206 0.00074368 0.00054933 0.00092212 0.00086287],"[2.83987296e-05 2.43010869e-05 1.29232683e-05 3.61410601e-05
 3.18792495e-05]",[0.99533997 1.        ],[1.         0.89719626],[0.97759674 0.98303393 0.98771267 0.98927875 0.95388788]
10,SMOTER_bin,101.15521311759949,[0.00727464 0.00836182 0.00843506 0.01009983 0.01065113],[0.00994226 0.01141513 0.0116116  0.01417901 0.01491158],[0.54615276 0.54191717 0.53217101 0.51584863 0.49782054],[0.55015774 0.54630482 0.53618711 0.52055467 0.5024896 ],[0.00400498 0.00438764 0.00401609 0.00470604 0.00466905],"[8.62996938e-05 1.10359083e-04 1.09615915e-04 1.54859335e-04
 1.67300114e-04]",[0.91371736 0.99989961],[0.9999093  0.90537224],[0.97944734 0.96708638 0.96413448 0.96622758 0.95583239],[0.0030401  0.00400683 0.00419507 0.0054514  0.0062707 ],[0.00684381 0.00733068 0.00563679 0.00731658 0.00661412],[0.18928544 0.18909711 0.18941775 0.18892034 0.18879674],[0.18998416 0.18986564 0.19000186 0.18972347 0.18963387],[0.00069872 0.00076854 0.00058411 0.00080312 0.00083713],"[1.82667658e-05 2.22992882e-05 1.57630790e-05 3.03080296e-05
 3.59604202e-05]",[0.99597287 1.        ],[1.         0.91121495],[0.98088531 0.98088531 0.98825832 0.98196393 0.99229287]
1,SMOTER_regular,101.75237989425659,[0.00504568 0.00544262 0.00611512 0.00725331 0.00839198],[0.00080048 0.00083581 0.00122208 0.00176819 0.00222932],[0.54833226 0.54475743 0.53462756 0.51968464 0.50140228],[0.54882592 0.54534889 0.53546063 0.52082643 0.5027616 ],[0.00049366 0.00059146 0.00083308 0.00114179 0.00135932],"[1.73495911e-06 2.92455831e-06 6.36675657e-06 1.24168081e-05
 1.89471718e-05]",[1.         0.99954669],[0.99954649 1.        ],[0.99963732 0.99504609 0.98988121 0.97751389 0.97953307],[0.00697624 0.0073999  0.0081796  0.00948263 0.01087443],[0.00083818 0.00111704 0.00200286 0.00300883 0.00424583],[0.1899896  0.18971226 0.18922792 0.18871179 0.18826002],[0.19034191 0.19018078 0.18991686 0.18963673 0.18938809],[0.0003523  0.00046853 0.00068893 0.00092493 0.00112807],"[5.63188269e-06 9.43613585e-06 2.03543152e-05 3.57981683e-05
 5.32216473e-05]",[1.         0.99534884],[0.99978719 1.        ],[0.99627561 0.99257885 0.97449909 0.93368237 0.92059337]
2,SMOTER_regular,100.84035873413086,[0.00525531 0.00620247 0.00612507 0.00648514 0.00690187],[0.00023638 0.00043976 0.00072898 0.00115532 0.00165391],[0.549004   0.54538235 0.53544108 0.52069652 0.50247349],[0.5491603  0.54565926 0.53586315 0.5213253  0.50328727],[0.0001563  0.00027691 0.00042207 0.00062878 0.00081378],"[2.11835612e-07 6.97204720e-07 1.81438957e-06 4.35669367e-06
 8.00108376e-06]",[0.99945598 0.99981853],[0.99981859 0.99945578],[0.99974596 0.9982848  0.99596953 0.98894365 0.98833938],[0.00722162 0.00851119 0.00833821 0.00869259 0.00913937],[0.00025009 0.00053317 0.00116569 0.00221346 0.00352487],[0.1904436  0.1902231  0.18990926 0.18951194 0.18909136],[0.19056676 0.19043342 0.19025146 0.19002719 0.18979005],[0.00012315 0.00021033 0.0003422  0.00051525 0.00069868],"[7.94627962e-07 2.16369386e-06 5.79618528e-06 1.30796029e-05
 2.45180915e-05]",[1.         0.99534884],[0.99978719 1.        ],[0.99627561 0.99627561 0.99257885 0.98165138 0.94364937]
3,SMOTER_regular,100.72139310836792,[0.00563001 0.00567474 0.00487386 0.00485597 0.00463674],[0.0002154  0.00025394 0.00036602 0.00066212 0.00110439],[0.54900159 0.54555911 0.53578575 0.52123512 0.50311453],[0.54915926 0.54574747 0.536035   0.52159299 0.50360466],[0.00015767 0.00018836 0.00024924 0.00035787 0.00049013],"[2.62120319e-07 3.62056835e-07 8.23721871e-07 2.03427324e-06
 4.37944814e-06]",[0.99846042 1.        ],[1.         0.99845805],[0.99969123 0.99881579 0.99936808 0.99763333 0.99467616],[0.00781349 0.00787547 0.00670598 0.00661471 0.00624206],[0.00022304 0.00034506 0.00082824 0.00171027 0.00300507],[0.19042011 0.19030512 0.19009699 0.18980951 0.18942222],[0.19055535 0.1904743  0.19034492 0.19017417 0.18995158],[0.00013524 0.00016917 0.00024793 0.00036467 0.00052935],"[1.03120513e-06 1.43912950e-06 3.34306112e-06 8.24920641e-06
 1.88808462e-05]",[1.         0.99534884],[0.99978719 1.        ],[0.99627561 1.         1.         0.99811676 0.98130841]
4,SMOTER_regular,99.01974892616272,[0.00507965 0.0051538  0.00517209 0.00414762 0.0041901 ],[0.00023376 0.0002179  0.00028401 0.00046895 0.00079756],[0.54898872 0.54558962 0.5358282  0.52134165 0.50326038],[0.54915286 0.54576284 0.53605648 0.52164674 0.50367869],[0.00016414 0.00017322 0.00022828 0.00030508 0.00041831],"[2.60506882e-07 3.42669958e-07 7.35119777e-07 1.76706405e-06
 3.48777462e-06]",[0.99846042 1.        ],[1.         0.99845805],[0.99969123 0.99938688 0.99920373 0.99779611 0.99553066],[0.00708328 0.00716908 0.00715792 0.00561442 0.00555976],[0.00022821 0.000273   0.00063677 0.00141978 0.00241313],[0.19041221 0.19031754 0.19014371 0.189868   0.18954734],[0.19055151 0.19048075 0.19036884 0.19020438 0.19001633],[0.0001393  0.00016321 0.00022513 0.00033638 0.00046899],"[1.04786056e-06 1.35620422e-06 2.87994718e-06 6.65969755e-06
 1.34129346e-05]",[1.         0.99534884],[0.99978719 1.        ],[0.99627561 0.99627561 1.         0.99257885 0.98696462]
5,SMOTER_regular,99.48657488822937,[0.0048478  0.00441512 0.00381556 0.00284452 0.0029421 ],[0.00016859 0.00015222 0.0002138  0.00035202 0.0006111 ],[0.54903067 0.54565843 0.5358965  0.52143799 0.50339825],[0.54917387 0.54579721 0.5360906  0.52169468 0.50374736],[0.0001432  0.00013878 0.0001941  0.00025668 0.00034911],"[2.72046778e-07 2.88450982e-07 6.34810256e-07 1.38108812e-06
 2.70040682e-06]",[0.99954669 1.        ],[1.         0.99954649],[0.99990926 0.99969382 0.99939154 0.99752735 0.99637681],[0.0067821  0.00616507 0.00528251 0.00381511 0.00384009],[0.00018932 0.00020253 0.00045692 0.00104639 0.00185412],[0.19039987 0.19035389 0.19018319 0.18995363 0.18965768],[0.1905454  0.19049884 0.19038853 0.19024689 0.19007127],[0.00014553 0.00014495 0.00020535 0.00029326 0.00041359],"[1.24683381e-06 1.15104851e-06 2.40597979e-06 5.22029692e-06
 1.05942947e-05]",[1.         0.99534884],[0.99978719 1.        ],[0.99627561 0.99627561 1.         1.         0.99437148]
